MOV rl,r2 | 01DDDSSS | 5
MOV M, r  | 01110SSS | 7
MOV r, M  | 01DDD110 | 7
HLT       | 01110110 | 7
MVI r     | 00DDD110 | 7
MVI M     | 00110110 | 10
INR       | 00DDD100 | 5
DCR       | 00DDD101 | 5
INR A     | 00111100 | 5
DCR A     | 00111101 | 5
INR M     | 00110100 | 10
DCR M     | 00110101 | 10
ADD r     | 10000SSS | 4
ADC r     | 10001SSS | 4
SUB r     | 10010SSS | 4
SBB r     | 10011SSS | 4
AND r     | 10100SSS | 4
XRA r     | 10101SSS | 4
ORA r     | 10110SSS | 4
CMP r     | 10111SSS | 4
ADD M     | 10000110 | 7
ADC M     | 10001110 | 7
SUB M     | 10010110 | 7
SBB M     | 10011110 | 7

AND M     | 10100110 | 7
XRA M     | 10101110 | 7
ORA M     | 10110110 | 7
CMP M     | 10111110 | 7

ADI       | 11000110 | 7
ACI       | 11001110 | 7

SUI       | 11010110 | 7
SBI       | 11011110 | 7

ANI       | 11100110 | 7
XRI       | 11101110 | 7
ORI       | 11110110 | 7
CPI       | 11111110 | 7

RLC       | 00000111 | 4
RRC       | 00001111 | 4
RAl       | 00010111 | 4
RAR       | 00011111 | 4

JMP       | 11000011 | 10
JC        | 11011010 | 10
JNC       | 11010010 | 10
JZ        | 11001010 | 10
JNZ       | 11000010 | 10
JP        | 11110010 | 10
JM        | 11111010 | 10
JPE       | 11101010 | 10
JPO       | 11100010 | 10

CALL      | 11001101 | 17
CC        | 11011100 | 11/17
CNC       | 11010100 | 11/17
CZ        | 11001100 | 11/17
CNZ       | 11000100 | 11/17
CP        | 11110100 | 11/17
CM        | 11111100 | 11/17
CPE       | 11101100 | 11/17
CPO       | 11100100 | 11/17

RET       | 11001001 | 10
RC        | 11011000 | 5/11
RNC       | 11010000 | 5/11
RZ        | 11001000 | 5/11
RNZ       | 11000000 | 5/11
RP        | 11110000 | 5/11
RM        | 11111000 | 5/11
RPE       | 11101000 | 5/11
RPO       | 11100000 | 5/11
RST       | 11AAA111 | 11

IN        | 11011011 | 10
OUT       | 11010011 | 10

LXI B     | 00000001 | 10
LXI D     | 00010001 | 10
LXI H     | 00100001 | 10
LXI SP    | 00110001 | 10

PUSH B    | 11000101 | 11
PUSH D    | 11010101 | 11
PUSH H    | 11100101 | 11
PUSH PSW  | 11110101 | 11

POP B     | 11000001 | 10
POP D     | 11010001 | 10
POP H     | 11100001 | 10
POP PSW   | 11110001 | 10

STA       | 00110010 | 13
LDA       | 00111010 | 13

XCHG      | 11101011 | 4
XTHL      | 11100011 | 18
SPHL      | 11111001 | 5
PCHL      | 11101001 | 5

DAD B     | 00001001 | 10
DAD D     | 00011001 | 10
DAD H     | 00101001 | 10
DAD SP    | 00111001 | 10

STAX B    | 00000010 | 7
STAX D    | 00010010 | 7
LDAX B    | 00001010 | 7
LDAX D    | 00011010 | 7

INX B     | 00000011 | 5
INX D     | 00010011 | 5
INX H     | 00100011 | 5
INX SP    | 00110011 | 5

DCX B     | 00001011 | 5
DCX D     | 00011011 | 5
DCX H     | 00101011 | 5
DCX SP    | 00111011 | 5

CMA       | 00101111 | 4
STC       | 00110111 | 4
CMC       | 00111111 | 4
DAA       | 00100111 | 4

SHLD      | 00100010 | 16
LHLD      | 00101010 | 16

EI        | 11111011 | 4
DI        | 11110011 | 4

NOP       | 00000000 | 4
